0,0.001,2990.15,njnjfjnjfnjnjnfnjnjnrnjnfnlnjnjnjnjnfjvnjnjnvnjvnjnjnjnjnfnfnjnjnjfnfnonjnfnjnjnfnfnfnjfnjnjvjnynvnvjyjnjyvnjonfnfonf
1,0.001,1330.29,nrnon
2,0.001,952.908,ndnunonononononononononononononononononononononononononononononononononononononononononononononononon
3,0.001,1037.41,nonovovononononononononononononononononononononononononononononononononononononononon
4,0.001,1118.65,nunununununununununononvnvnvnvnvnvnvnvnvnvnvnvnvnvnvnvnvn
5,0.001,1192.8,dundnrnunununinininininininininingngngngngngngngngngngngngngngnvn
6,0.001,867.586,nunununinininininhnvnhdrndnhrniriririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririrdn
7,0.001,994.467,rnundndnrnhrnhnrnunhnhnhnsninunrnuninhntniroririririririririririririririrird
8,0.001,773.113,nindnhnunundnhninhnrndnhnhnrnhnunrurdnruhihrd
9,0.001,829.487,hnsnsnrnhrnrndnrdirirdidrird
10,0.001,457.99,urntndnsnznznrtr
11,0.001,957.036,nunznznsntnunintnrnzhzndenznznrgr
12,0.001,850.308,ntnznsnznununhnuntnznznznz
13,0.001,505.205,nsononsnsnsnsnsononononenenuetonunenenenonenenentnunenenenen
14,0.001,711.652,nenenenononenenenenensntnenenenenentnunenenenosntsetnonenenenenenentnenenenunenenenenenenenenenenenenenenenenenenenenenenenunuere
15,0.001,543.733,tnonenenontnenenenenunyntenununesnenhntnoneneneneonenenenynentntnenunentenununungueu
16,0.001,623.691,netnononsnsntnonentnensntsnentntunsntnenteuntnsnonentntntntntnonezoznznungu
17,0.001,459.567,yndndnsntndnuntndngndntnynunenununtnuntntngngsngngnyntnuer
18,0.001,531.269,ntrnunyndndnendndndndnunrngntnynynenoungergr
19,0.001,473.463,ndndndndndnds
20,0.001,540.577,dndnyndndndnendnze
21,0.001,691.805,nrg
22,0.001,735.866,ntngngntntngnungi
23,0.001,455.691,ngnintnsntninungngru
24,0.001,693.089,ntntntnininininunininingnununungninininrgnrn
25,0.001,522.309,ningnintntntnzetrzrnetgtn
26,0.001,352.275,ntntntntnininh nknun
27,0.001,393.8,nininininingsnsun
28,0.001,693.325,n nin sn ninininininininininrs
29,0.001,591.318,ninininininininininuninininininininininineninieneun
30,0.001,393.194,n n n n n n nin
31,0.001,545.641,n n n n n n n nenenen
32,0.001,439.993, n n n n n n n n n n n n nenen
33,0.001,550.696,un n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n sn e k
34,0.001,385.635,n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n s s n 
35,0.001,799.829,ks n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n sks 
36,0.001,546.414,n n n n n n n n n n n n n n n n n n n n n n n n n n nenen
37,0.001,691.246,n n n n n n n n n n n n n n nkek sk
38,0.001,688.273, n n n n n n n nininin n n n n n n nsn nininin nsksen
39,0.001,594.729,k n n n n n ninins n n n n n nenenen
40,0.001,466.619, n nin n n n n n nin ninsk n
41,0.001,555.477,n n ninin n n ninininin n ne enin
42,0.001,613.314,n n nininin ninininenkn
43,0.001,701.823,k sn n n n n n n n n n n n n nin n n n n n n n n n n nenun
44,0.001,833.559,n n n n n n n n n n n n n n n n n n nin n n n n n n nininen n nonon s 
45,0.001,512.522, nininin n n n n n n n ninininini r i n
46,0.001,516.545,k n n n n n n n n n n n n n n n n n n n n n n n n n n ninininin nsk k k
47,0.001,525.226,n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n nenenen n nenk s nin nenen n nse e k nininin
48,0.001,540.266, n n n n n n n n n n n n n n n n n n ninin n n n n n n n n n n n n n n n n n n n n n nenen ene e s ene 
49,0.001,650.638, n nin n n n n ninininin n nen n in ie 
50,0.001,529.693, n n n n n n n n n n n nininineneninen nenininenene e e e
51,0.001,592.747,n n n n n n n n n n n nendndnin u kunin
52,0.001,419.543,n n n n n n n n n n n nenenininin nin
53,0.001,378.326, n n n n n n n n n ninenenene e
54,0.001,434.836,n n n n n n neneneneneninenenen 
55,0.001,609.565, n n n n n n n n n n nenenenenenen ninenenenen n
56,0.001,448.872,n n ninenen n n nenenenenenenensnen
57,0.001,376.002,n nenenenenenenenenenenenenenenenenenenenenen n n 
58,0.001,551.225, n n nenen n znenenenenenenenine n enenen n n nen nenenenenenenenenenenenenen n eg enen nenenenen n n n n nez z z 
59,0.001,606.649,n n n nenenen n n n n nenenenenen n nen nenenenenenen e n n n nenen g e 
60,0.001,647.719,nznznrnr zn n n n n n n n n n n n n n n non n
61,0.001,418.116, zn n n n n n n n n n n n n n n n n n
62,0.001,363.689, nrn n n nenenen n nen 
63,0.001,316.763,n n n n n
64,0.001,358.027, n n n n n n n n 
65,0.001,686.803,n nun n n n n n n n n n n n 
66,0.001,621.368, n n n n n n n n n n n n n n n 
67,0.001,371.005, n n n n n n n n n n n n n n 
68,0.001,520.417, n n n n n n n n n n n n n n n n n n n n n n n n n n n n n 
69,0.001,441.075, n n n n n n n n n n n n n n n n n n n n n n n n n n n n 
70,0.001,498.581, u u nrn n n n n n n n n n n n n n n n n n n n n n n n n 
71,0.001,583.727, r n rnrnrn nrnrn u rnr n n nr nr n nrnrne nrn n n n n n n n n n n n n n nrnrnrn r r n n n n n r 
72,0.001,535.489,xunrn rn n n n n n n n n n n n n n n n r n nrnrnrn n n rn n u n r n n n n n n n n n n n n n n n n n u rn n 
73,0.001,374.779, n n n n n n n n n n n n n n n n n n n n n n
74,0.001,453.089, u n nin n n n n n n n n n n n n n n n n n
75,0.001,641.967,n n n n n n n n n n
76,0.001,791.969,n n n nin
77,0.001,244.127,n n n n
78,0.001,713.068,n n n n n n n n n n
79,0.001,509.264,n n n n n n n n n
80,0.001,299.183,n n n n n n n n n n
81,0.001,370.276,un n n n n n n n n 
82,0.001,699.122, n n n n n n n n n n n n n e u n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n
83,0.001,621.075, n n n n n n n n n s n n n s n nsn n n n n n n n nlu n n n n n n n n n n n n n us i
84,0.001,388.11,n n n n nen n n n n n n n n n n n n n n n n n n n n n n n n n n n 
85,0.001,509.677, n n nen n n n n n n n n n n n n n n n n n n n n n n n ne
86,0.001,427.061,nun n n n n n n n nen n n n n n n n n n n n n n n n n
87,0.001,510.508,n n n n n n n n n n n n n n n n n n n n n n n n n n n nen n n n
88,0.001,356.711,n n ne n n n n n n n n n n n n n n n n n n n e n n n n n
89,0.001,433.824,nen n n n nun n n n n n n n n n n n n n n n n n 
90,0.001,422.862, n n n n n n n n n n 
91,0.001,447.052,n nin n n n n n n n n n n n n i 
92,0.001,440.675,n n n n n n n n n n n n n n n n n n n n n n
93,0.001,549.687,n n n n n n n n n n n n n ninin 
94,0.001,403.135, n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n 
95,0.001,626.653,nun n n n n n n n n n n n n n n n n n n n u n n n n n n n n n n n n n n n n n n n
96,0.001,485.738,n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n
97,0.001,310.094, nun n n n n n n n n n n n n n n n n n u 
98,0.001,347.506, n n n n n n n n n n n n
99,0.001,657.892, n n n n n n n n n n n n n n n n n n n n n n n ninin n 
100,0.001,601.009, n n n n n n n n n n n n n n n n 
101,0.001,346.318, n n n n n n n n n n n n n n n n n
102,0.001,518.212,n n n n n n n n n n n n n n n n nenen e
103,0.001,421.498,n n n n n n n n n n n n n n n e e e e
104,0.001,495.066, un n n n n n n n n n n n n n n n n n n n n n n n n n n e
0,0.001,358.79, n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n i i i u e
1,0.001,451.439, n nun n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n e
2,0.001,370.396,n n nu unen n n n n n n n nenen n n n n n n n n n n nene
3,0.001,440.072,n n n n n n n n n n n n n n n n n n n n i 
4,0.001,559.351,n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n 
5,0.001,647.788, n nun n n n n n n n n n n n n n n n n n n n n n n i n n n n n n n i 
6,0.001,385.227,n n n n n n n n n n n n n n n n n n i 
7,0.001,615.18, n n n n n n n n n n n n n n n n n n n n n n n n 
